publisher	self_published	Count
Pohjoismaiden merimieslähetys	NA	  11
Länsisuomalainen osakunta	FALSE	  11
Axel E. Lindgren	FALSE	  11
A.C. McClurg	FALSE	  11
Helsingfors Stads Elektricitetsverk	FALSE	  11
Kauppakp	FALSE	  11
Lars Hökerberg	FALSE	  11
O.y. Kuopion uusi Kirjapaino	FALSE	  11
Lifförsäkringsbolaget Suomi	FALSE	  11
Lantbruksstyrelsen	FALSE	  11
N.P. Karbasnikoff	NA	  11
Constance Ullner	FALSE	  11
Suomen maantieteellinen seura	FALSE	  11
Nylands & Tavastehus läns Landtbrukssällskap	FALSE	  11
Boldt, Alexander (1873-1956)	 TRUE	  11
J.F. Olánin kirjakauppa	FALSE	  11
Lahden kaupunki	NA	  11
Vaasan paino	FALSE	  11
O. Palander	FALSE	  11
Sortavalan kp	FALSE	  11
Eero Erkko	FALSE	  11
Kullervo	FALSE	  11
Suomen vakuutusyhdistys	FALSE	  11
Hantsch, Georg	FALSE	  11
Pauli, Johannes	FALSE	  11
Viipurin suomalaisen kirjallisuuden seura	FALSE	  10
Palmblad & co	FALSE	  10
Churberg	FALSE	  10
Holmström	FALSE	  10
Grönlund	FALSE	  10
Nylenius	FALSE	  10
Blomfelt	FALSE	  10
Föreningen Brage	NA	  10
Sortavalan Eläinsuojelus-Yhdistys	FALSE	  10
Ekenäs missionsbokhandels förlag	FALSE	  10
Uusmaalainen ylioppilas-yhdistys	FALSE	  10
Historiska Samfundet	FALSE	  10
Geol. kommissionen	NA	  10
Finska Mosskulturföreningen	FALSE	  10
Reino Drockila	FALSE	  10
Finska Sågvärksägarne	FALSE	  10
S. Karger	FALSE	  10
Macmillan	FALSE	  10
Helsingfors Bokhandel 	FALSE	  10
Nuorsuomalaisen puolueen kanslia	FALSE	  10
E.E. Sundvall	FALSE	  10
Suomen maatalousseurojen keskusliitto	FALSE	  10
Frälsningsarméns högkvarter	FALSE	  10
Ilkka	FALSE	  10
Turun kaupunki	NA	  10
Suomen valtionrautatiet	FALSE	  10
Suomen rakennusmestariliitto	FALSE	  10
Gutenberg kp	FALSE	  10
Suomalainen sosialistinen kustannus	FALSE	  10
Helsingin kaupungin sähkölaitos	NA	  10
Sosialidemokratinen naisliitto	FALSE	  10
Turun lähetysyhdistys	FALSE	  10
Sana	FALSE	  10
Suomalainen kansallis-raittius-veljeysseura	FALSE	  10
Keski-Suomen kustannusliike	FALSE	  10
Kurikka, Matti (1863-1915)	 TRUE	  10
Suomen pelastusarmeija	NA	  10
Pohjois-Karjalan maanviljelysseura	FALSE	  10
J.F. Hellman	FALSE	  10
Johan Westerback	FALSE	  10
Möllemann, Stephan	FALSE	  10
Röpke, Carl Johansson	FALSE	  10
Horrn, Johan Laurentius II	FALSE	  10
Nyström och Stolpe	FALSE	  10
Momma, Wilhelm	FALSE	  10
Wennberg, Lars	FALSE	  10
Johan Wallin leski	FALSE	  10
Helsingin Eläinsuojeluyhdistys	FALSE	   9
Viipurin Eläinsuojelusyhdistys	NA	   9
Hämeenlinnan Eläinsuojelusseura	FALSE	   9
Suomen Pyöräilyliitto	NA	   9
Fedotov	FALSE	   9
Nordstedt	FALSE	   9
Gyldendal	FALSE	   9
J.A. Hahnsson	FALSE	   9
Werkko	FALSE	   9
Omalla kustannuksella	FALSE	   9
Hjelt	FALSE	   9
Hildén	FALSE	   9
Pihl	FALSE	   9
Nordensvan	FALSE	   9
Turun Kirjapaino-osake	FALSE	   9
Pettersson	FALSE	   9
Alopaeus	FALSE	   9
Joensuun Kirjapaino-osake	FALSE	   9
Werkko, Kaarle	 TRUE	   9
Matkailutoimisto Finlandia	NA	   9
Henkivakuutus Suomi	FALSE	   9
Joensuun kp.	FALSE	   9
Satakunnan maanviljelysseura	FALSE	   9
Valtionarkisto	NA	   9
Svenska folkskolans vänner	FALSE	   9
G. Smidt	FALSE	   9
Luth. Evank.-yhdistys	FALSE	   9
Finlands Svenska Nykterhetsförbunds Expedition	FALSE	   9
Waseniuksen kirjakauppa	FALSE	   9
Finlandia	NA	   9
Universitetet	FALSE	   9
Suomalainen Kansa	FALSE	   9
Agricola Kustannus	FALSE	   9
Medicinalstyrelsen	FALSE	   9
Juridiska Studentfakultetens förlag	FALSE	   9
Suomen naisyhdistys	NA	   9
Finska Skogsvårdsföreningen Tapio	FALSE	   9
Föreningen för främjande af allmännyttig byggnadsverksamhet	FALSE	   9
Joh. K. Lindstedt	FALSE	   9
Kalenteri	NA	   9
Seurasaaren ulkomuseo	FALSE	   9
Suomen maantieteellinen yhdistys	FALSE	   9
Valtion historiallinen museo	FALSE	   9
Ervast, Pekka (1875-1934)	 TRUE	   9
Georg Müller	FALSE	   9
S. O. K	FALSE	   9
Matti Wuolukka & Coumpp	FALSE	   9
Meteor	NA	   9
Forstén, T K	 TRUE	   9
Viipurin kaupunki	NA	   9
Kansantaloudellinen yhdistys	FALSE	   9
Helsingin suomalainen kirjakauppa	FALSE	   9
Viipurin uusi kp	FALSE	   9
Otto Andersin'in kustannusliike	FALSE	   9
Kalke, Kosti (1858-1938)	 TRUE	   9
Lankinen	FALSE	   9
Vilho Leikas	FALSE	   9
Porilaisen Kirjapaino	FALSE	   9
N.A. Zilliacus	FALSE	   9
Theodor Sederholm	FALSE	   9
P. Widerholm	FALSE	   9
Teosofinen kirjakauppa ja kustannusliike	FALSE	   9
J. Nordenankar	FALSE	   9
S.G. Hermelin	FALSE	   9
Förr detta Grefingska tryckeriet	FALSE	   9
Tampereen Eläinsuojelusyhdistys	NA	   8
Gidrografičeskij Departament' Morskago Ministerstva	NA	   8
Pečatano v' Gl. Gidrograf. Upravlenìi Morskogo Ministerstva	NA	   8
Nya teatern i Helsingfors	FALSE	   8
A.C. Öhman	FALSE	   8
Kungliga fält-tryckeriet	FALSE	   8
Koskinen, Yrjö Sakari (1830-1903)	 TRUE	   8
OP	FALSE	   8
Leverentz, Frans Jakob	FALSE	   8
Skandinavilainen kustannustoimisto	FALSE	   8
Société de Géographie de Finlande	FALSE	   8
Wäinämöisen toimitus	FALSE	   8
Kajaanin Kirjapaino	FALSE	   8
Kansainvälinen kirja- ja lähetysyhdistys	FALSE	   8
NAZ	FALSE	   8
Turun kansakoulujohtokunta	FALSE	   8
Kansan kuvalehden kustannus	FALSE	   8
Befälhafvarestyrelsen	NA	   8
Wiipurin Sanomain Kirjapaino	FALSE	   8
Järnvägsstyrelsen	NA	   8
Otto Lindeman	FALSE	   8
Evangeliska Fosterlandsstiftelsen	FALSE	   8
Duodecim seura	FALSE	   8
F.W. Unggrens boktryckeri	FALSE	   8
J. Gummerus, jakaja	FALSE	   8
A. Twietmeyer	FALSE	   8
Frenckellska Tryckeri-Aktiebolagets förlag	FALSE	   8
Viborgs stad	FALSE	   8
Suomen evank.-luth. pyhäkouluyhdistys	FALSE	   8
Diakonissanstalten	FALSE	   8
Nutids redaktion	FALSE	   8
J. Klockars' bokhandel	FALSE	   8
Jahnsson, Yrjö	 TRUE	   8
Söderström, jakaja	FALSE	   8
Suomen taideyhdistys	NA	   8
Hämeenlinnan uusi kp	FALSE	   8
Suomalainen työväenliitto	FALSE	   8
Finska Kyrkans Inremissionssällskap	FALSE	   8
Finska forstföreningen	FALSE	   8
Geologiska kommissionen i Finland	FALSE	   8
Tapio	FALSE	   8
Salama	FALSE	   8
Brandkårsförbundet i Finland	FALSE	   8
Lax, Hj	 TRUE	   8
Rauhan sanomain kustannustoimi	FALSE	   8
Kahilus, J	 TRUE	   8
Suomen työväensuojelus- ja sosialivakuutusyhdistys	FALSE	   8
Elanto	FALSE	   8
Partanen, L W	 TRUE	   8
Perustuslakikomitea	NA	   8
Viipurin työväen sanomalehti- ja Kirjapaino-osuuskunta	FALSE	   8
Suomen yleinen palokuntaliitto	FALSE	   8
Suomalaisten puolueiden vaaliliitto	FALSE	   8
Valio	FALSE	   8
Edistysseurojen Kustannus	FALSE	   8
Toverin kustannus	FALSE	   8
Vapaa ajatus	FALSE	   8
Viipurin suomalainen kirjallisuusseura	FALSE	   8
Hjelt, Christian Ludvig	FALSE	   8
Kristillinen liikemiestoiminta	FALSE	   8
Kansan tahto	FALSE	   8
Schröder, Gerhard	FALSE	   8
Kämpe, David	FALSE	   8
