original	polished	Count
Päivälehden kirjapaino	päivälehden kirjapaino	14
Kuopion uusi kp.	kuopion uusi kp	14
Osuuskunta Väinämöinen	osuuskunta väinämöinen	14
[Finska Metallindustrins Arbetsgifvareförbund]	finska metallindustrins arbetsgifvareförbund	14
Suomalaisen puolueen naisvaliokunta	suomalaisen puolueen naisvaliokunta	14
prändätty Kuning:sesa suomalaisesa präntisä	kuning sesa suomalaisesa präntisä	14
typis direct. Joh. Edman	joh edman	14
typis Wernerianis	wernerianis	14
J. Merckell	merckell	14
[Peder Eriksson Wald]	peder eriksson wald	14
[Peder Wald]	peder wald	14
Kurikka	kurikka	13
Konkordia-liitto	konkordia liitto	13
Kewät-yhtiö	kewät yhtiö	13
Arvi A. Karisto	arvi karisto	13
F. Tilgmann	f tilgmann	13
Suomen matkailijayhdistys	suomen matkailijayhdistys	13
[Länsisuomalaisten esitelmätoimikunta]	länsisuomalaisten esitelmätoimikunta	13
Frenckell :;Granlund	frenckell granlund	13
Backman	backman	13
Olán	olán	13
Länsisuomalais-osakunta	länsisuomalais osakunta	13
Karjalan kirjakauppa- ja kustannusliike	karjalan kirjakauppa kustannusliike	13
Terveydenhoitoyhdistys	terveydenhoitoyhdistys	13
tryckte i Frenckellska boktryckeriet	i frenckellska boktryckeriet	13
W. Söderström	w söderström	13
G. A. Ekholm	ekholm	13
B. E. Martin	b e martin	13
Lindstedt'in antikvaarinen kirjakauppa	lindstedt'in antikvaarinen kirjakauppa	13
Edlundin kirjakauppa	edlundin kirjakauppa	13
H. W. Marjamaa	h w marjamaa	13
Hemma och Utes redaktion	hemma utes redaktion	13
Raivaajan kirjapaino	raivaajan kirjapaino	13
Väinämöisen kirjakauppa	väinämöisen kirjakauppa	13
Finska Historiska Samfundet	finska historiska samfundet	13
Suomen maantieteellinen yhdistys	suomen maantieteellinen yhdistys	13
[Föreningen Martha] :;Akademiska Bokhandeln, jakaja	föreningen martha akademiska bokhandeln jakaja	13
Statsrådet	statsrådet	13
Geologiska Kommissionen :;Akademiska bokhandeln, jakaja	geologiska kommissionen akademiska bokhandeln jakaja	13
impr. apud Jo. Laurent. Wallium	apud jo laurent wallium	13
Petrus Wald, Acad. typogr.	petrus wald acad typogr	13
Petrus Wald, Acad. typog.	petrus wald acad typog	13
excusa â Petro Hansonio, Acad. typ.	â petro hansonio acad typ	13
exc. Jo. Wal	jo wal	13
aff Peder Wald	peder wald	13
tryckt hoos Niclas Wankijff, kongl. booktr.	hoos niclas wankijff kongl booktr	13
[J. Winter]	winter	13
excudebat Johannes Winter	johannes winter	13
[Peter Hansson?]	peter hansson	13
excusa  Johanne Winter	johanne winter	13
[L. Salvius]	l salvius	13
prändätty Cuningallisesa suomalaisesa präntisä	cuningallisesa suomalaisesa präntisä	13
tryckt af Joh. Kiaempe, Kongl. acad. boktr.	joh kiaempe kongl acad boktr	13
impressit Joh. C. Frenckell	joh c frenckell	13
Kustannusosakeyhtiö Kirja	kustannusosakeyhtiö kirja	12
K. Valovuori	k valovuori	12
Suomen Matkailijayhdistys	suomen matkailijayhdistys	12
Työmies kustannusyhtiö	työmies kustannusyhtiö	12
[Suomen historiallinen seura]	suomen historiallinen seura	12
Toimittajan kustannuksella	toimittajan kustannuksella	12
[Suomen Keisarillinen Aleksanterin yliopisto]	suomen keisarillinen aleksanterin yliopisto	12
Tytty Lagerstedt	tytty lagerstedt	12
O.y. Valistus	oy valistus	12
Unggren	unggren	12
Karsten	karsten	12
J. Karsten	karsten	12
Hufvudstadsblad'in kirjapaino :;Edlund	hufvudstadsblad'in kirjapaino edlund	12
Öfversättaren	öfversättaren	12
Etelä-Pohjanmaan nuorisoseura	etelä pohjanmaan nuorisoseura	12
Pyhän Sergein ja Hermanin veljeyskunta	pyhän sergein hermanin veljeyskunta	12
tryckt hos Johan C. Frenckell	johan c frenckell	12
