original	polished	Count
[prändätty J. C. Frenckellin kirjan-prändisä]	Frenckell, Johan Christopher II	   2
Valtionrautateiden Eläinsuojelusyhdistys		   2
ex officina Frenckelliana	Frenckell, Johan Christopher II	   2
W. ja G.		   2
[Finska fornminnesföreningen]		   2
exc. â Joh. L. Wallio, A. t.	Wall, Johan Larsson	   2
Työväen kustannusyhtiö		   2
[J. Nordenankar]		   2
Harald		   2
GEJ		   2
Turun lähetysyhdistys		   2
Edlundska Bokhandeln		   2
Suomen Eläinsuojelus ja Eläinhoito		   2
Lindgren		   2
Hbl. uusi kp.		   2
[C. G. Clouberg]		   2
Suomalaisen Kirjallisuuden Seura :;Edlund		   2
prändätty directeurildä ja kuning:da kirjan-präntäjäldä suuresa-ruhtinan-maasa Suomesa, Jacob Merckellildä	Merckell, Jacob	   2
Albert Bonnier		   2
Keski-Suomen kirjapaino		   2
tryckt aff Johann Winter	Winter, Johan	   2
Hissa		   2
Suomen metsänhoitoyhdistys Tapio		   2
författare		   2
[tryckt uti kongl. fält-tryckeriet]		   2
Gyldendalske Boghandel Nordisk Forlag		   2
F. W. Unggrens boktryckeri		   2
tryckt af Joh. Kiaempe, Kongl. acad. boktr.	Kämpe, Johan	   2
[Prometheus]		   2
W. Hagelstam i distr		   2
[Frenckell]		   2
Pohjolan kustannusoy.		   2
J. F. Granlund		   2
Akademiska bokhandeln		   2
Kustannus-o.y. Kansa		   2
Työväen sanomalehti-osakeyhtiö		   2
Suomen metsänhoitoyhdistys		   2
K. Kaatra		   2
Vaasan Elänsuojelusyhdistys		   2
Finska Litteratur-sällskapet		   2
Valo		   2
P. R. Wiitanen		   2
J. W. Lillja		   2
Eskil Renfors		   2
Lutherska Evengeliföreningen		   2
Koulutarpeiden keskusliike		   2
aff Johan Winter	Winter, Johan	   2
Finska vetenskapsspcieteten		   2
[N. M. Lindh]		   2
Työväen sanomalehti oy.		   2
[Maalaisliitto]		   2
A. Apostol		   2
Yrjö Weilin & Kumpp. o.y.		   2
