original	polished	Count
Mainov, Wladimir.	male	9
Gestrin, Emil Teodor	male	9
Warelius, Antero.	male	9
Inberg, Isak Johan.	male	9
Lönnbeck, Waldemar.	male	9
Johansson, Erik	male	9
Cleve, Zacharias Joachim.	male	9
Lilja, Anni	female	9
Zschokke, Heinrich.	male	9
Wänttinen, Ernest.	male	9
Brenner, Magnus	male	9
Waineman, Paul.	male	9
Krogius, Ali.	male	9
Calamnius, Johan Viktor	male	9
Sudermann, Hermann.	male	9
Stadius, Julia.	female	9
Norrlin, Johan Petter.	male	9
Luther, Alex.	male	9
Prätorius, Stefan.	male	9
Simolin, Albin.	male	9
Perttilä, Emil.	male	9
Tennberg, Constantin.	male	9
Murray, Andrew.	male	9
Bergroth, Hugo	male	9
Bohnhof, Anna.	female	9
Marx, Karl.	male	9
Konow, Walter von.	male	9
Kajander, Kalle	female	9
Höijer, Allan.	male	9
Gylling, Edvard.	male	9
Granström, Arthur.	male	9
Salminen, Viktor.	male	9
Humble, Verner.	male	9
Ring, Barbra.	female	9
Cooper, James Fenimore.	male	9
Born, Viktor Magnus von.	male	9
Hedman, Adi.	female	9
Harmaja, Leo.	male	9
Berendts, Edward.	male	9
Flygare-Carlén, Emilie.	female	9
Engelberg, Rafael.	male	9
Riverton, Stein.	male	9
Johansson, Severin.	male	9
Barclay, Florence L.	female	9
Baadsgaard, Anna.	female	9
Aspelin-Haapkylä, Eliel	male	9
Stenbäck, Thomas.	male	9
Junnila, Johannes Johanneksenpoika	male	9
Lagerlöf, Petrus	male	9
Wexionius, Olof Olofsson	male	9
Gyllenius, Petrus Magni	male	9
Schaefer, Johannes Henrici	male	9
Burman, Olof Abrahamsson	male	9
Mathesius, Gabriel Nicolai	male	9
Adami, Johan Samuel.	male	9
Carstenius, Petrus Henrici	male	9
Sprengtporten, Georg Magnus	male	9
Schütz, Johann Jakob	male	9
Zum Felde, Niclas	male	9
Edelcrantz, Abraham Niclas	male	9
Klint, Gustaf af.	male	8
Tammelander, Mathilda Emilia.	female	8
Ekelund, Carolus Evert	male	8
Dahlberg, Gustaf.	male	8
Törmälä, Emanuel.	male	8
Lewetzow, Cornelia.	female	8
Grotenfelt, Nils Gustaf Maximilian	male	8
Cicero, Marcus Tullius.	male	8
Reuter, Ossian.	male	8
Poppius, Alfred.	male	8
Wacklin, Sara	female	8
Stenbäck, Elise	female	8
Ongelin, Hanna	female	8
Lönnberg, Ernst.	male	8
Lönnbeck, Albin	male	8
Söderhjelm, Torsten.	male	8
Hausen, Hans.	male	8
Herkner, Heinrich.	male	8
Enckell, Karl.	male	8
Jotuni, Maria	female	8
Castrén, Jonas	male	8
Svanljung, John.	male	8
Lille, Axel.	male	8
Sinclair, Upton.	male	8
Öholm, Lars W.	male	8
Appelgren-Kivalo, Hjalmar	male	8
Sergelius, Max.	male	8
Donner, Anders.	male	8
Poirot, Jean.	female	8
Hortling, Ivar.	male	8
Nordenstreng, Sigurd.	male	8
Castrén, Gunnar.	male	8
Slotte, Alex.	male	8
Schulman, Hugo.	male	8
Landtman, Gunnar	male	8
Wirén, Edvin.	male	8
Törnudd, Lilli.	female	8
Suolahti, Gunnar.	male	8
Hedin, Sven.	male	8
