gatherings.original	width.original	height.original	original	gatherings	width	height	obl	area	count
NA	24.2	26.8	26.8 x 24.2 cm. plate 35 x 29 cm.	NA	26.8	24.2	0	648.56	1
NA	37.9	42.6	37.9 x 42.6 cm. plate 41 x 45 cm.	NA	42.6	37.9	0	1614.54	1
NA	37.7	42.9	37.7 x 42.9 cm. plate 41 x 46 cm.	NA	42.9	37.7	0	1617.33	1
NA	37.8	42.9	37.8 x 42.9 cm. plate 41 x 46 cm.	NA	42.9	37.8	0	1621.62	1
NA	37.8	42.1	37.8 x 42.1 cm. plate 41 x 45 cm.	NA	42.1	37.8	0	1591.38	1
NA	40.3	56.8	40.3 x 56.8 cm. plate 71.5 x 53 cm.	2long	56.8	40.3	0	2289.04	1
NA	37.9	42.7	37.9 x 42.7 cm. plate 43 x 54 cm.	NA	42.7	37.9	0	1618.33	1
NA	37.9	42.4	37.9 x 42.4 cm. plate 44 x 50 cm.	NA	42.4	37.9	0	1606.96	1
NA	37.6	42.9	37.6 x 42.9 cm. plate 44 x 50 cm.	NA	42.9	37.6	0	1613.04	1
NA	37.5	42.9	37.5 x 42.9 cm. plate 44 x 50 cm.	NA	42.9	37.5	0	1608.75	1
NA	37.8	42.1	37.8 x 42.1 cm. plate 43 x 55 cm.	NA	42.1	37.8	0	1591.38	1
NA	37.9	42.6	37.9 x 42.6 cm. plate 43 x 54 cm.	NA	42.6	37.9	0	1614.54	1
NA	37.9	42.7	37.9 x 42.7 cm. plate 43 x 55 cm.	NA	42.7	37.9	0	1618.33	1
NA	37.8	42.5	37.8 x 42.5 cm. plate 43 x 54 cm.	NA	42.5	37.8	0	1606.5	1
NA	37.8	42.6	37.8 x 42.6 cm. plate 43 x 54 cm.	NA	42.6	37.8	0	1610.28	1
NA	37.9	42.5	37.9 x 42.5 cm. plate 43 x 54 cm.	NA	42.5	37.9	0	1610.75	1
NA	37.7	42.9	37.7 x 42.9 cm. plate 44 x 50 cm.	NA	42.9	37.7	0	1617.33	1
NA	37.5	42.8	37.5 x 42.8 cm. plate 45 x 49 cm.	NA	42.8	37.5	0	1605	1
NA	37.7	42.9	37.7 x 42.9 cm. plate 43 x 49 cm.	NA	42.9	37.7	0	1617.33	1
NA	37.4	42.8	37.4 x 42.8 cm. plate 43 x 49 cm.	NA	42.8	37.4	0	1600.72	1
NA	37.5	42.7	37.5 x 42.7 cm. plate 44 x 49 cm.	NA	42.7	37.5	0	1601.25	1
NA	37.6	42.8	37.6 x 42.8 cm. plate 43 x 50 cm.	NA	42.8	37.6	0	1609.28	1
NA	37.8	42.7	37.8 x 42.7 cm. plate 43 x 50 cm.	NA	42.7	37.8	0	1614.06	1
NA	37.8	42.8	37.8 x 42.8 cm. plate 45 x 50 cm.	NA	42.8	37.8	0	1617.84	1
NA	37.8	42.8	37.8 x 42.8 cm. plate 42 x 49 cm.	NA	42.8	37.8	0	1617.84	1
NA	37.7	42.8	37.7 x 42.8 cm. plate 43 x 49 cm.	NA	42.8	37.7	0	1613.56	1
NA	37.6	42.8	37.6 x 42.8 cm. plate 43 x 49 cm.	NA	42.8	37.6	0	1609.28	1
NA	37.1	42.6	37.1 x 42.6 cm. plate 44 x 49 cm.	NA	42.6	37.1	0	1580.46	1
NA	37.7	42.5	37.7 x 42.5 cm. plate 43 x 49 cm.	NA	42.5	37.7	0	1602.25	1
NA	37.7	42.7	37.7 x 42.7 cm. plate 43 x 49 cm.	NA	42.7	37.7	0	1609.79	1
NA	37.7	42.7	37.7 x 42.7 cm. plate 44 x 50 cm.	NA	42.7	37.7	0	1609.79	1
NA	37.5	42.8	37.5 x 42.8 cm. plate 43 x 48 cm.	NA	42.8	37.5	0	1605	1
NA	37.8	42.8	37.8 x 42.8 cm. plate 43 x 49 cm.	NA	42.8	37.8	0	1617.84	1
NA	37.8	42.8	37.8 x 42.8 cm. plate 44 x 49 cm.	NA	42.8	37.8	0	1617.84	1
NA	37.3	42.7	37.3 x 42.7 cm. plate 42 x 48 cm.	NA	42.7	37.3	0	1592.71	1
NA	37.5	42.7	37.5 x 42.7 cm. plate 43 x 48 cm.	NA	42.7	37.5	0	1601.25	1
