author_name	Count
Zschokke, Heinrich.	  9
Wänttinen, Ernest.	  9
Brenner, Magnus	  9
Waineman, Paul.	  9
Krogius, Ali.	  9
Backman, Woldemar.	  9
Calamnius, Johan Viktor	  9
Szinnyei, József.	  9
Sudermann, Hermann.	  9
Stadius, Julia.	  9
Wallensköld, A.	  9
Luther, Alex.	  9
Prätorius, Stefan.	  9
Simolin, Albin.	  9
Perttilä, Emil.	  9
Tennberg, Constantin.	  9
Nyberg, Berndt Mikael.	  9
J.-nen.	  9
Murray, Andrew.	  9
Bäck, A. J.	  9
Bonsdorff, Ilmari	  9
Bergroth, Hugo	  9
Bohnhof, Anna.	  9
Marx, Karl.	  9
Kajander, Kalle	  9
Jalava, Antti	  9
Höijer, Allan.	  9
Viljanen, V. M. J.	  9
Widenius, K. A.	  9
Gylling, Edvard.	  9
Schvindt, Fr. M.	  9
Salminen, Viktor.	  9
Humble, Verner.	  9
Friberg, Maikki.	  9
Ring, Barbra.	  9
Cooper, James Fenimore.	  9
Born, Viktor Magnus von.	  9
Hedman, Adi.	  9
Harmaja, Leo.	  9
Neovius-Nevanlinna, L.	  9
Berendts, Edward.	  9
Alfvegrén, Georg Edvard.	  9
Flygare-Carlén, Emilie.	  9
Liakka, Niilo.	  9
Engelberg, Rafael.	  9
Riverton, Stein.	  9
Koskimies, Aukusti Valdemar	  9
Krohn, Helmi	  9
Juvelius, J. W.	  9
Juusela, Väinö.	  9
Johansson, Severin.	  9
Johansson, Osc. V.	  9
Barclay, Florence L.	  9
Balzac, Honoré de.	  9
Baadsgaard, Anna.	  9
Aspelin-Haapkylä, Eliel	  9
Alanen, Yrjö J. E.	  9
Sarlin, K. K.	  9
Ponkala, E. W.	  9
Helminen, Heimo	  9
Meriläinen, Heikki	  9
Rotilainen, Hijoppi.	  9
Homann, Johan Babtist.	  9
Hermelin, S. G.	  9
Sjöstedt, Carolus Gustavus	  8
Klint, Gustaf af.	  8
Šubert, G. L.	  8
-a -g	  8
Frosterus, Johannes Abrahami	  8
Tammelander, Mathilda Emilia.	  8
Waaranen	  8
Dahlberg, Gustaf.	  8
Törmälä, Emanuel.	  8
Bergh, Mimmi	  8
Scriver, Christian	  8
Lewetzow, Cornelia.	  8
Fritsch, Ahasverus Andreae	  8
Cicero, Marcus Tullius.	  8
Nyman, Severi.	  8
Hellström, F. E.	  8
James, D.	  8
Forsman, Kaarlo	  8
Savander, Otto.	  8
Wiik, Fredrik Johan.	  8
Carlstedt, A. V.	  8
Soldan-Brofeldt, Venny.	  8
Amirchanjanz, Abraham.	  8
Reuter, Ossian.	  8
Krogerus, V. J. G.	  8
Poppius, Alfred.	  8
Lodbrok.	  8
Wacklin, Sara	  8
Stadius, Uno.	  8
Stenbäck, Elise	  8
Lönnberg, Ernst.	  8
Lönnbeck, Albin	  8
Malin, V.	  8
Lindgren, Bernh.	  8
Söderhjelm, Torsten.	  8
Jalander, Y. W.	  8
Hausen, Hans.	  8
Herkner, Heinrich.	  8
Thors, Mårten.	  8
Wesala, Kaarlo.	  8
