publisher	Count
Satakunnan kirjapaino	   6
Bäckman kp.	   6
[Geografiska föreningen i Finland]	   6
A. Backman	   6
J. Jernström	   6
Ev. luth. Söndagsskoleföreningen i Finland	   6
Internationella Traktat- och missionsföreningen	   6
Sigurdur Jónsson	   6
[Juridiska Studentfakulteten] :;Akademiska Bokhandeln, jakaja	   6
[Raittiuden ystävät]	   6
Svenska folkpartiet	   6
K. F. U. M.	   6
Finska Fornminnesföreningen	   6
Suomen evank.-luth. pyhäkouluyhdistys	   6
Frenckellska Tryckeri-Aktiebolaget	   6
Helios i distr	   6
F. Frommann	   6
Clouberg ja kumpp.	   6
Helsingfors Stads Gasverk	   6
Svenska K. F. U. M.	   6
Finlands Svenska Nykterhetsförbunds Expedition	   6
K. F. U. K.	   6
J. Klockars' bokhandel	   6
[Prometheus]	   6
Industriidkarenes i Finland Ömsesidiga Brandförsäkringsbolag	   6
Uusi Rautatielehti	   6
Kamaritoimituskunta	   6
[Borgå stad]	   6
Kustannusliike Vellamo	   6
Suomalainen työväenliitto	   6
M. W. Wuolukka	   6
Frams byrå	   6
Työväen kirjapaino	   6
Föreningen för bekämpandet af tuberkulosen	   6
SOK	   6
Frälsningsarméns högkvarter	   6
Pietarsaaren kunta	   6
