original		Count
[20] s. (s. [2] ja [20] tyhjät)	10	   2
[104] s.	104	   2
Kollaatio avoin	184	   2
[4] s., s. 241-256, [4] s.	24	   2
[4] s., s. 161-176, [4] s.	24	   2
[4] s., s. 145-160, [4] s.	24	   2
[4] s., s. 512-543, [4] s.	40	   2
[4] s., s. 224-255, [4] s.	40	   2
[2] s., s. 17-24, [2] s.	12	   2
[2] s., s. 825-840, [2] s.	20	   2
[2] s., s. 601-616, [2] s.	20	   2
[2] s., s. 105-112, [2] s.	12	   2
[2] s., s. 89-96, [2] s.	12	   2
[2] s., s. 41-48, [2] s.	12	   2
S. [?], [25-32], [?]	8	   2
[2] s., s. 217-232, [2] s.	20	   2
S. [?], [153-168], [?]	16	   2
[?], [1-16], [?] s.	16	   2
[6], 29, [3] s.	38	   2
[12], 51, [1] s.	64	   2
[44] s. (s. [44] tyhjä)	44	   2
[2], [1] 2-44 s.	46	   2
S. [449-480]	32	   2
S. [289-320]	32	   2
S. [257-288]	32	   2
S. [65-96]	32	   2
[14], 22 s.	36	   2
[16], 160 s.	176	   2
156 lehteä	312	   2
[1-3] 4-367 [368] s. (s. [368] tyhjä)	368	   2
[160] s. (s. [2] tyhjä)	160	   2
[1-2] 3-44 [45-48] s. (s. [48] tyhjä)	48	   2
[8], 144 s.	152	   2
[1-2] 3-216 [217-240] s. (s. [2] ja [240] tyhjät)	240	   2
[1-2] 3-40 s. (s. [2] tyhjä)	40	   2
[2] s., s. 145-160	18	   2
S. [4], 321-336, [4]	24	   2
S. [4], 17-32, [2]	22	   2
[12], 91, [1] s.	104	   2
[14?] s.	14	   2
[46] s. (s. [2] tyhjä)	46	   2
[70] s.	70	   2
[2+?] s.	2	   2
S. [?], [289-320], [?]	32	   2
[4], 34, [2] s.	40	   2
[4], 6 [po. 14], [2] s.	20	   2
[12], 66, [2] s.	80	   2
[8], 50, [2] s.	60	   2
[4], 18 [po. 28] s.	32	   2
[16], 48 s.	64	   2
22, [2] s.	24	   2
[8] s., s. 751-782	40	   2
S. [?], [192-223], [?]	32	   2
S. [?], [97-128], [?]	32	   2
[2] s., s. 65-96, [2] s.	36	   2
S. [?], [193-224], [?]	32	   2
S. [?], [129-160], [?]	32	   2
[?], [1-32], [?] s.	32	   2
[8], 25, [1] s.	34	   2
S. [?], [121-136], [?]	16	   2
[2] s., s. 105-120, [2] s.	20	   2
[2] s., s. 315-340, [2] s.	30	   2
[2] s., s. 269-291, [2] s.	27	   2
[2] s., s. 77-100, [2] s.	28	   2
[2], 24, [2] s.	28	   2
[4], 31, [5] s.	40	   2
[156] s.	156	   2
[136] s.	136	   2
[40] s. (s. [32] tyhjä)	40	   2
[4], 30, [6] s.	40	   2
[8], 84 s.	92	   2
[8], 36, [2] s.	46	   2
[4], 26, [6] s.	36	   2
[30], 109, [5] s.	144	   2
[10], 103, [9] s.	122	   2
S. [113-128]	16	   2
S. [65-80]	16	   2
[4] s., s. 335-350, [4] s.	24	   2
[4] s., s. 319-334, [4] s.	24	   2
[6] s., s. 111-126 [po. 81-96]	22	   2
[4] s., s. 95-110 [po. 65-80]	20	   2
[8] s., s. 33-48	24	   2
