author	author_gender
Svebilius, Olaus Georgii (1624-1700)	male
Svendsen, Conrad	male
Svenonius, Enevaldus Svenonis (1617-1688)	male
Synnerberg, Carl (1837-1915)	male
Tallqvist, Hj	male
Talvio, Maila	female
Tammelinus, Gabriel Laurentii (1641-1695)	male
Tammelinus, Laurentius Gabrielis (1669-1733)	male
Tanner, K O	NA
Tarkiainen, Viljo	male
Telman, Konrad	male
Tengström, Jacob (1755-1832)	male
Texas, Jack	male
Thauvonius, Abrahamus Georgii (1622-1679)	male
Thorwöste, Johannes Johannis (1680-1750)	male
Thuronius, Andreas Thuronis (1632-1665)	male
Thuronius, Henricus (1676-1676)	male
Tigerstedt, Ericus Erici (1640-1697)	male
Tigerstedt, Petrus Erici (1679-1742)	male
Tigerstedt, Robert	male
Tollesson, Pehr	male
Tolstoi, Leo	male
Topelius, Toini	male
Topelius, Z	NA
Topelius, Zacharias (1818-1898)	male
Törnudd, Aksel (1874-1923)	male
Törnudd, Sigurd	male
Torpander, Johannes Svenonis (1698-1698)	male
Travers, Rosalind	NA
Tripplin, T	NA
Trolle, Henrik Af	male
Trygg, Alli	female
Tuderus, Gabriel Johannis (1638-1705)	male
Twain, Mark	male
Uddgren, H E	NA
Uhrström, Vilhelm	male
Uotinen, Mikko	male
Ursin, N R Af (1854-1936)	ambiguous
Vakaa, Gustaf Adolf	male
Valk, Gerardo	NA
Vartia, Arvo	male
Vasenius, Valfrid	male
Voipio, Viljo	male
Vuolle-apiala, Jalmari	male
Waaranen, K A (1849-1923)	male
Waineman, Paul	male
Wainio, Edvard August	male
Wallenius, Johannes Fredericus (1765-1836)	male
Wallin, Olai (1832-1896)	male
Wallin, Väinö (1869-1947)	male
Wallius, Laurentius Olai (1588-1638)	male
Walta, F	NA
Waltari, Toivo (1880-1939)	male
Wanochius, Andreas Jacobi (1651-1700)	male
Wasastjerna, Nils	male
Wasastjerna, Oscar	male
Webb, J B	male
Wecksell, Josef Julius	male
Wegelius, Johan Alarik	male
Wegelius, Martin	male
Wesley, John	male
Westerback, Johan	male
Westerlund, A	male
Westermarck, Edvard	male
Wichmann, S E	NA
Wichmann, Yrjö	male
Widt, Birger	male
Wilcox, Thomas	male
Wilhelmiina, 	female
Wilhelmina, 	NA
Wiljaranta, Sulo	male
Wilskman, Ivar	male
Winkler, Heinrich	male
Wirth, Albrecht	male
Woldstedt, L	NA
Wuori, Martti (1858-1934)	male
Zeising, Henningus Paulus	male
Zola, Émile	NA
Zschokke, Heinrich	male
