original	gatherings.original	width.original	height.original	obl.original	gatherings	width	height	obl	area	Count
1:o [1/2:o?].	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    7
17 cm.	NA	NA	 17.0	FALSE	NA	 12.0	 17.0	NA	  204.00	    6
18 cm.	NA	NA	 18.0	FALSE	NA	 12.0	 18.0	NA	  216.00	    6
[16:o].	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    6
pitkä 12:o.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    6
poikittais-8:o.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    6
64:o.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    6
[1:o?].	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    6
o.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    6
9 x 16 cm	NA	  9.0	 16.0	FALSE	NA	  9.0	 16.0	NA	  144.00	    5
1/2:o.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    5
9 x 17 cm	NA	  9.0	 17.0	FALSE	NA	  9.0	 17.0	NA	  153.00	    4
13 x 18 cm	NA	 13.0	 18.0	FALSE	NA	 13.0	 18.0	NA	  234.00	    4
24:o.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    4
12:o +	12long	NA	NA	FALSE	12long	 13.0	 20.0	 0	  260.00	    4
22 cm.	NA	NA	 22.0	FALSE	NA	 15.0	 22.0	NA	  330.00	    4
21 cm.	NA	NA	 21.0	FALSE	NA	 14.0	 21.0	NA	  294.00	    3
16 cm.	NA	NA	 16.0	FALSE	NA	 11.0	 16.0	NA	  176.00	    3
20 cm.	NA	NA	 20.0	FALSE	NA	 13.0	 20.0	NA	  260.00	    3
61,5 x 92 cm, lehti 65,5 x 96 cm.	NA	 61.5	 92.0	FALSE	NA	 61.5	 92.0	NA	 5658.00	    3
4.o.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    3
2:o?.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    3
4:o  +	4long	NA	NA	FALSE	4long	 27.0	 35.0	 0	  945.00	    3
?:o.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    3
pat. fol.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    3
kapea 12:o.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    3
13 x 19 cm	NA	 13.0	 19.0	FALSE	NA	 13.0	 19.0	NA	  247.00	    2
10 x 17 cm	NA	 10.0	 17.0	FALSE	NA	 10.0	 17.0	NA	  170.00	    2
16 x 19 cm.	NA	 16.0	 19.0	FALSE	NA	 16.0	 19.0	NA	  304.00	    2
24 cm.	NA	NA	 24.0	FALSE	NA	 19.0	 24.0	NA	  456.00	    2
4:o?.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    2
26 cm.	NA	NA	 26.0	FALSE	NA	 20.0	 26.0	NA	  520.00	    2
13 x 17 cm	NA	 13.0	 17.0	FALSE	NA	 13.0	 17.0	NA	  221.00	    2
61,8 x 92 cm, lehti 65,5 x 96 cm.	NA	 61.8	 92.0	FALSE	NA	 61.8	 92.0	NA	 5685.60	    2
62 x 93 cm, lehti 65,5 x 96 cm.	NA	 62.0	 93.0	FALSE	NA	 62.0	 93.0	NA	 5766.00	    2
7 x 13 cm	NA	  7.0	 13.0	FALSE	NA	  7.0	 13.0	NA	   91.00	    2
55,5 x 73 cm.	NA	 55.5	 73.0	FALSE	NA	 55.5	 73.0	NA	 4051.50	    2
77 x 58,5 cm.	NA	 58.5	 77.0	FALSE	NA	 58.5	 77.0	NA	 4504.50	    2
58,5 x 77 cm.	NA	 58.5	 77.0	FALSE	NA	 58.5	 77.0	NA	 4504.50	    2
1:o?.	1to	NA	NA	FALSE	1to	 60.0	 90.0	 0	 5400.00	    2
2:o +	2long	NA	NA	FALSE	2long	 30.0	 53.0	 0	 1590.00	    2
lyhyt 12:o.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    2
[pitkä 12:o].	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    2
8:.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    2
[4:o?].	4to	NA	NA	FALSE	4to	 22.0	 28.0	 0	  616.00	    2
2.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    2
4:o [8:o?].	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    2
pitkä/kapea 12:o.	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	    2
79,2 x 60,8 cm, lehti 85 x 65 cm.	NA	 60.8	 79.2	FALSE	NA	 60.8	 79.2	NA	 4815.36	    1
50 x 49,3 cm, lehti 55 x 68 cm.	NA	 49.3	 50.0	FALSE	NA	 49.3	 50.0	NA	 2465.00	    1
49,8 x 48,9 cm, lehti 53,5 x 53 cm.	NA	 48.9	 49.8	FALSE	NA	 48.9	 49.8	NA	 2435.22	    1
56,8 x 48 cm, lehti 73,5 x 53,5 cm.	NA	 48.0	 56.8	FALSE	NA	 48.0	 56.8	NA	 2726.40	    1
46,8 x 56,5 cm, lehti 55 x 65,5 cm.	NA	 46.8	 56.5	FALSE	NA	 46.8	 56.5	NA	 2644.20	    1
9 x 18 cm	NA	  9.0	 18.0	FALSE	NA	  9.0	 18.0	NA	  162.00	    1
8 x 15 cm	NA	  8.0	 15.0	FALSE	NA	  8.0	 15.0	NA	  120.00	    1
62,8 x 93,8 cm, lehti 65,5 x 96 cm.	NA	 62.8	 93.8	FALSE	NA	 62.8	 93.8	NA	 5890.64	    1
