original	polished	Count
Jalas, Asa.	Jalas, Asa	11
Spjut, Einar.	Spjut, Einar	11
Linnaniemi, Walter M.	Linnaniemi, Walter M	11
Forssell, Adolf.	Forssell, Adolf	11
Liipola, Heikki.	Liipola, Heikki	11
Kaste, Anni.	Kaste, Anni	11
Foerster, Fr. W.	Foerster, Fr. W	11
Barratt, T. B.	Barratt, T. B	11
Lundström, Carl.	Lundström, Carl	11
Merikoski, K.	Merikoski, K	11
Kijanen, Pekka.	Kijanen, Pekka	10
Mikkola, J. J.	Mikkola, J. J	10
Lithenius, Sofie.	Lithenius, Sofie	10
Ronkainen, H.	Ronkainen, H	10
Steiner, Rudolf.	Steiner, Rudolf	10
Helander, Antti Daniel.	Helander, Antti Daniel	10
Fedotov, N.	Fedotov, N	10
Vanamo, Kaarlo.	Vanamo, Kaarlo	10
Stenberg, E. A.	Stenberg, E. A	10
Pipping, W.	Pipping, W	10
Lindeqvist, Carl Johan.	Lindeqvist, Carl Johan	10
Lang, J. N.	Lang, J. N	10
Granfelt, George Fredrik.	Granfelt, George Fredrik	10
Donner, Arno.	Donner, Arno	10
Sivers, Henric Jacob.	Sivers, Henric Jacob	10
Möller, Johan.	Möller, Johan	10
Tamminen, Em.	Tamminen, Em	10
Hirvonen, Johan Wilhelm.	Hirvonen, Johan Wilhelm	10
Hemmo, Kaarlo.	Hemmo, Kaarlo	10
Snellman, A. H.	Snellman, A. H	10
Busemann, L.	Busemann, L	10
Soikkeli, Kaarle.	Soikkeli, Kaarle	10
Snellman, Paavo.	Snellman, Paavo	10
Höffding, Harald.	Höffding, Harald	10
Hugo, Victor.	Hugo, Victor	10
Forsman, Jaakko.	Forsman, Jaakko	10
Lax, Hj.	Lax, Hj	10
Blicher-Clausen, J.	Blicher-clausen, J	10
Bebel, August.	Bebel, August	10
Öhler, Luise.	öhler, Luise	10
Tegengren, Gustav.	Tegengren, Gustav	10
Tanttu, Kasperi.	Tanttu, Kasperi	10
Bonsdorff, W.	Bonsdorff, W	10
Kuhne, Louis.	Kuhne, Louis	10
Nyberg, Huugo.	Nyberg, Huugo	10
Karvonen, A.	Karvonen, A	10
Mannerskantz, Nils.	Mannerskantz, Nils	10
Savonius, Michael Johannis.	Savonius, Michael Johannis	10
Grönwall, Andreas.	Grönwall, Andreas	10
Inberg, Isak Johan.	Inberg, Isak Johan	9
Stadius, Julia.	Stadius, Julia	9
Höijer, Allan.	Höijer, Allan	9
Mainov, Wladimir.	Mainov, Wladimir	9
Berendts, Edward.	Berendts, Edward	9
Luther, Alex.	Luther, Alex	9
Konow, Walter von.	Konow, Walter Von	9
Marx, Karl.	Marx, Karl	9
Stenbäck, Thomas.	Stenbäck, Thomas	9
Norrlin, Johan Petter.	Norrlin, Johan Petter	9
Lönnbeck, Waldemar.	Lönnbeck, Waldemar	9
Warelius, Antero.	Warelius, Antero	9
Zschokke, Heinrich.	Zschokke, Heinrich	9
Born, Viktor Magnus von.	Born, Viktor Magnus Von	9
Sudermann, Hermann.	Sudermann, Hermann	9
Wallensköld, A.	Wallensköld, A	9
Prätorius, Stefan.	Prätorius, Stefan	9
Cleve, Zacharias Joachim.	Cleve, Zacharias Joachim	9
Cooper, James Fenimore.	Cooper, James Fenimore	9
Adami, Johan Samuel.	Adami, Johan Samuel	9
Uhrström, Vilhelm.	Uhrström, Vilhelm	9
Wänttinen, Ernest.	Wänttinen, Ernest	9
Murray, Andrew.	Murray, Andrew	9
Hammar, Kaarlo Aukusti.	Hammar, Kaarlo Aukusti	9
Granström, Arthur.	Granström, Arthur	9
Johansson, Osc. V.	Johansson, Osc. V	9
Friberg, Maikki.	Friberg, Maikki	9
Krogius, Ali.	Krogius, Ali	9
Calamnius, Ilmari.	Calamnius, Ilmari	9
Salminen, Viktor.	Salminen, Viktor	9
Perttilä, Emil.	Perttilä, Emil	9
Nyberg, Berndt Mikael.	Nyberg, Berndt Mikael	9
Liakka, Niilo.	Liakka, Niilo	9
Helander, B. H.	Helander, B. H	9
Johansson, Severin.	Johansson, Severin	9
Gylling, Edvard.	Gylling, Edvard	9
Engelberg, Rafael.	Engelberg, Rafael	9
Bohnhof, Anna.	Bohnhof, Anna	9
Humble, Verner.	Humble, Verner	9
Backman, Woldemar.	Backman, Woldemar	9
Tennberg, Constantin.	Tennberg, Constantin	9
Waineman, Paul.	Waineman, Paul	9
Simolin, Albin.	Simolin, Albin	9
Neovius-Nevanlinna, L.	Neovius-nevanlinna, L	9
Hedman, Adi.	Hedman, Adi	9
Harmaja, Leo.	Harmaja, Leo	9
Ring, Barbra.	Ring, Barbra	9
Balzac, Honoré de.	Balzac, Honoré De	9
Riverton, Stein.	Riverton, Stein	9
Baadsgaard, Anna.	Baadsgaard, Anna	9
Barclay, Florence L.	Barclay, Florence L	9
Flygare-Carlén, Emilie.	Flygare-carlén, Emilie	9
Reuter, Ossian.	Reuter, Ossian	8
Klint, Gustaf af.	Klint, Gustaf Af	8
Gustafsson, C.	Gustafsson, C	8
Hortling, Ivar.	Hortling, Ivar	8
Wesala, Kaarlo.	Wesala, Kaarlo	8
Gadolin, G.	Gadolin, G	8
Dreijer, Tord.	Dreijer, Tord	8
Kihlgren, Edit.	Kihlgren, Edit	8
Friis, Jens Andreas.	Friis, Jens Andreas	8
Castrén, Gunnar.	Castrén, Gunnar	8
Cicero, Marcus Tullius.	Cicero, Marcus Tullius	8
Lille, Axel.	Lille, Axel	8
Nyman, Severi.	Nyman, Severi	8
Lie, Bernt.	Lie, Bernt	8
Svanljung, John.	Svanljung, John	8
Poppius, Alfred.	Poppius, Alfred	8
Horatius Flaccus, Quintus.	Horatius Flaccus, Quintus	8
Grotenfelt, Arvi.	Grotenfelt, Arvi	8
Bonsdorff, A.	Bonsdorff, A	8
Tammelander, Mathilda Emilia.	Tammelander, Mathilda Emilia	8
Pontoppidan, Erik.	Pontoppidan, Erik	8
Törmälä, Emanuel.	Törmälä, Emanuel	8
Lewetzow, Cornelia.	Lewetzow, Cornelia	8
Jaakkola, K.	Jaakkola, K	8
Dahn, Felix.	Dahn, Felix	8
Dahlberg, Gustaf.	Dahlberg, Gustaf	8
Collins, Wilkie.	Collins, Wilkie	8
Malin, V.	Malin, V	8
Serao, Matilde.	Serao, Matilde	8
