original	polished	Count
Philadelphia	Philadelphia PA	2
Bridgeport (Conn.)	Bridgeport CT	2
[Brooklyn (N.Y.)]	New York NY	2
Seattle (Wash.)	Seattle WA	2
Gel'singfors''	Helsinki	2
Oxford	Oxford	2
[Wien]	Vienna	2
Londres	London	2
Stockholm :;Leipzig	Stockholm	2
Lapualla	Lapua	2
Montréal	Montreal	2
Kazan'	Kazan	2
Smithville (Minn.)	Smithville MN	2
B'' Sanktpeterburgê	St Petersburg	2
Helsingfors :;Stockholm	Helsinki	2
Berlin-Charlottenburg	Berlin	2
Trieste	Trieste	2
Kjobenhavn	Copenhagen	2
Dessau	Dessau	2
Boston	Boston	2
Fitchburg	Fitchburg MA	2
Ashtabula	Ashtabula OH	2
[Duluth, Minn.]	Duluth MN	2
[Mikkeli]	Mikkeli	2
Jelgawâ	Jelgava	2
Köping	Köping	2
Krakow	Krakow	2
Barcelona	Barcelona	2
Stockton	Stockton	2
[Paris]	Paris	2
Jacobstad	Pietarsaari	2
Wasa (Nikolaistad)	Vaasa	2
[Hållas]	Halle	2
Kobenhavn	Copenhagen	2
Helsinki ;;Kuopio	Helsinki	2
V' Sanktpeterburgě	St Petersburg	2
Porvoo ;;Helsinki	Porvoo	2
[Nikolaistad]	Vaasa	2
Augsburg	Augsburg	2
Moskau	Moscow	2
Halle a.d. Saale	Halle	2
St. Mikkelissä	Mikkeli	2
Helsinki ;;Jyväskylä	Helsinki	2
Helsinkissä	Helsinki	2
[Pietari]	St Petersburg	2
Helsingforsisa	Helsinki	2
Pietärissä	St Petersburg	2
Peterisa	St Petersburg	2
Oulu ;;[Turku]	Oulu	2
[Joensuu]	Joensuu	2
Nyslott	Savonlinna	2
Karstula	Karstula	2
Gryphiae	Greifswald	2
Omtryckt i Åbo	Turku	2
Strängnäsis	Strängnäs	2
Kiiminki	Kiiminki	2
Helsinki [s.n.]	Helsinki	2
Offenbach am Main	Offenbach am Main	2
Ylistaro	Ylistaro	2
Joensuussa	Joensuu	2
[Uusikaupunki]	Uusikaupunki	2
Karhula	Karhula	2
Petäjävesi	Petäjävesi	2
Mu Helsinki	Helsinki	2
Ashtabula, Ohio	Ashtabula OH	2
[Fürth]	Furth	2
Viitasaari	Viitasaari	2
Saarijärvi	Saarijärvi	2
Ikaalinen	Ikaalinen	2
Willmanstrand	Lappeenranta	2
Pargas	Parainen	2
Mustiala	Mustiala	2
Aalborg	Aalborg	2
[Helsinki ]	Helsinki	2
[München]	München	2
Wandsbek	Wandsbek	2
Breslau	Breslau	2
Genève	Geneve	2
Virolahti	Virolahti	2
Pihlava	Pihlava	2
Helsingfos	Helsinki	2
New York (N. Y.)	New York NY	2
Karkku	Karkku	2
Naantali	Naantali	2
Heinävesi	Heinävesi	2
Calumet, Mich.	Calumet MI	2
Tyrvää	Tyrvää	2
Cincinnati	Cincinnati OH	2
Chigago (Ill.)	Chicago IL	2
New Haven	New Haven MA	2
Helsinki :;[Helsinki]	Helsinki	2
Chisholm (Minn.)	Chisholm MN	2
Lojo	Lohja	2
Janakkala	Janakkala	2
[Helsinki] :;Jyväskylä	Helsinki	2
Huopalahti	Huopalahti	2
Hancock (MI)	Hancock MI	2
