"","publisher","n"
"665","Rauman kirjapaino-o.y",10
"666","Reg. Acad. typ. Joh. Kiämpe",10
"667","Reino Drockila",10
"668","S. Karger",10
"669","Sosialidemokratinen naisliitto",10
"670","Suom.-lut. kustannusliike",10
"671","Suomalainen sosialistinen kustannusyhtiö",10
"672","Suomen kuuromykkäin liitto",10
"673","Suomen maatalousseurojen keskusliitto",10
"674","Suomen pyhäkouluyhdistys",10
"675","Säde",10
"676","Turun lähetysyhdistys",10
"677","Uusmaalainen ylioppilas-yhdistys",10
"678","Viipurin suomalaisen kirjallisuuden seura",10
"679","Vilho Leikas",10
"680","Wile´n :;Edlund",10
"681","aff Johan Winter",10
"682","cuningal. kirj. präntäj. Henrich C. Merckelin leskeldä",10
"683","debat Johannes Vogel, Acad. typographus",10
"684","dit Johannes Winter",10
"685","pränd. Georg Wilhelm Londicerildä",10
"686","prändätyt Frenckellin kirjan-prändisä",10
"687","präntätty Frenckellin kirjan-prändisä",10
"688","präntätty, directeurildä ja cuningalliselda kirjan präntäjäldä, Jacob Merckellildä",10
"689","ssum apud Reg. Acad. typogr. Joh. C. Frenckell",10
"690","& typog. reg. m. duc. Finland. Jacob Merckell",9
"691","A. Björkman",9
"692","Abr. Hirsch",9
"693","Aikain vartija",9
"694","Akad. bokh",9
"695","Cölln",9
"696","Edlundska Bokhandeln",9
"697","Etelä-Savon kp",9
"698","F. & G. Beijer",9
"699","Fedotov",9
"700","Finsk Kvinnoförening",9
"701","Finsk-ugriska Sällskapet",9
"702","Finska Mosskulturförening",9
"703","Finska vetenskaps-societeten",9
"704","Fr. Vieweg & Sohn",9
"705","Föreningen för främjande af allmännyttig byggnadsverksamhet",9
"706","G. O. Wasenius",9
"707","G. W. Edlundin kustannus-o.y",9
"708","Georg Mu¨ller",9
"709","Gutenberg",9
"710","Gyldendal",9
"711","Helios, distr",9
"712","Helsingin Eläinsuojeluyhdistys",9
"713","Helsingin Sentr.-kp",9
"714","Helsingin suomalainen kirjakauppa",9
"715","Helsingin uusi kp",9
"716","Henkivakuutus-yhtiö Suomi",9
"717","Hjelt",9
"718","Hämeenlinnan Eläinsuojelusseura",9
"719","J. C. Frenckellin tykönä",9
"720","J. C. Holmberg",9
"721","J. Nordenankar",9
"722","Joensuun kirjapaino-osakeyhtiö",9
"723","Joh. Kiämpe, Reg. Acad. typogr",9
"724","Johannes Vogelius, Academiae typogr",9
"725","Kongl. finska boktryckeriet",9
"726","Kustannus-o.y. Helios",9
"727","Kustannus-oy Kirja",9
"728","Lankinen",9
"729","Luth. Evankeliumi-yhtiö",9
"730","Nordstedt",9
"731","Norstedt & söner",9
"732","Nyström och Stolpe",9
"733","Pietari Hannuxen pojalda Acad. typ",9
"734","Pihl",9
"735","Pohjalainen osakunta",9
"736","Pohjois-Karjalan maanviljelysseura",9
"737","Rauhan Sanomat",9
"738","S. G. Hermelin",9
"739","S. O. K",9
"740","Salama",9
"741","Sammon kp",9
"742","Sen. kp",9
"743","Seurasaaren ulkomuseo",9
"744","Simelius :;Edlund",9
"745","Sosialistin kirjapaino-osuuskunta",9
"746","Suomalainen Kansa",9
"747","Suomen Pyöräilyliitto",9
"748","Suomen maantieteellinen seura",9
"749","Suomen valtionrautatiet",9
"750","Turun kaupungin historiallinen museo",9
"751","Turun kirjapaino-osakeyhtiö",9
"752","Työkansan kustannusyhtiö",9
"753","Universitetet",9
"754","Viipurin Eläinsuojelusyhdistys",9
