"","publisher","n"
"453","apud Joh. Edman, director. et Reg. Acad. typogr",4
"454","a^ Johanne Waldio, Acad. typogr",4
"455","a^ Johanne Winter",4
"456","a^ Petro Hansonio A. t",4
"457","a^ Petro Hansonio Acad. typogr",4
"458","a^ Petro Hansonio, Acad. typ",4
"459","chez Pierre Mariette Rue St. Iacques a l'esperance",4
"460","d Joh. Kiaempe, Reg. Acad. typogr",4
"461","debat Henr. C. Merckell, reg. typogr",4
"462","debat Johannes Winter, Reg. typogr",4
"463","debat Johannes Winter, reg. typogr",4
"464","debat Petrus Hansonius Acad. typog",4
"465","debat Petrus Hansonius Acad. typogr",4
"466","debat Petrus Wald, Acad. typ",4
"467","directeur. ja cuningallis. kirjan präntäjäldä suuren ruhtinm. [sic] Suomes, Jacob Merckellildä",4
"468","directeurildä ja cuning:da kirjan präntäjäldä suuresa-ruhtinan-maasa Suomesa, Jacob Merckellildä",4
"469","directeurildä, ja kuning. kirjan-präntäjäldä, Jacob Merckellildä",4
"470","directörin Johan A. Carlbohmin tykönä",4
"471","dit Johannes Winter, Reg. typographus",4
"472","dit Petrus Hansonius",4
"473","ex officina Frenckelliana",4
"474","ex officina Olai Enaei",4
"475","hoos Ioh. Wall",4
"476","hoos Jo. Wall",4
"477","hoos Niclas Wankijff, kongl. booktr",4
"478","hos Jo. Wal",4
"479","hos Londicers änka",4
"480","hos Swederus",4
"481","litteris Joh. Edman, et Reg. Acad. typogr",4
"482","litteris Joh. Fr. Edman, Reg. Acad. typogr",4
"483","litteris director. Johan. Edman",4
"484","mag. J. C. Frenckells boktryckeri. På egen bekostnad",4
"485","per. Joh. Kiaempe, R. Ac. typ",4
"486","pränd. Georg W. Londicerildä",4
"487","pränd. Joh. Christ. Frenckellildä",4
"488","prändetty J. P. Lindhilda",4
"489","prändätty, Johan Winterildä cuning:da booktr.dä suures ruhtinan maasa Suomes",4
"490","prändättyt Frenckellin kirjan-prändisä",4
"491","präntätty Kuning:sesa suomalaisesa präntisä",4
"492","sa apud Petrum Wald, Acad. typogr",4
"493","sa a` Johanne Winter, Reg. typogr",4
"494","sa a^ Johanne Winter",4
"495","sae a^ Petro Hansonio Acad. typ",4
"496","ssum apud R. Acad. typ. J. C. Frenckell",4
"497","sum a^ Petro Hansonio",4
"498","sus Acad. apud Petri Waldz",4
"499","tryckt Henr. C. Merckell, kongl. boktr. uthi stoor-furstendömet Finland",4
"500","tryckt aff Dawid Kämpe",4
"501","tryckt uthi det Kongl. boktryckeriet, af F. Phil. Paulssen",4
"502","tryckt uti för detta Grefingska tryckeriet",4
"503","tryckte hos Johan A. Carlbohm",4
"504","trykt hos Lars Salvius",4
"505"," Ioh. Kiaempe, Reg. Ac. typ",3
"506"," Joh. Kiaempe, Reg. Acad. typogr",3
"507"," Joh. Kiämpe R. Acad. typ",3
"508"," Joh. Waldio, Reg. Univ. Aboe¨ns. typogr",3
"509"," Joh. Winter",3
"510"," Joh: Winter, reg. typ",3
"511"," Reg. Acad. typogr. Eric Flodström",3
"512"," apud Jo: Wallium",3
"513"," apud Joh. Wallium, Regiae Acad. typogr",3
"514"," apud Joh. Wallium, t. A",3
"515"," apud Johannem L. Wallium",3
"516"," apud Johannem L. Wallium A. t",3
"517"," apud Johannem Laurentii Wallium",3
"518"," apud Johannem Wallium, Regiae Univ. typogr",3
"519"," apud vid. Joh. Wall",3
"520"," a^ Johanne Wallio, A. t",3
"521","& typog. reg. m. duc. Finland. Jacob. Merckell",3
"522","& typogr. reg. magn. duc. Finland, Jacob Merckell",3
"523","A. Cedervaller",3
"524","A. J. Segerstedtilda",3
"525","A. Zetterberg",3
"526","Anders Jac. Nordström",3
"527","Andr. Biörkman, Kongl. Acad. boktr. i Åbo",3
"528","Andr. Biörkman, Kongl. acad. boktr. i Åbo",3
"529","C. A. Londicerildä",3
"530","C. F. Marquard",3
"531","C. Trapp culutuxella Joh. Kiämpildä",3
"532","C. Trapp culutuxella, Joh. Kiaempildä",3
"533","Cuningallinen suomalainen prändi",3
"534","Daniel J. Medelplan",3
"535","Erich Flodström, Reg. Acad. typogr",3
"536","Eskil Mattsson",3
"537","Frenckelin kirjan-prändisä",3
"538","Frenkellska boktryckeriet",3
"539","Gamla Kongl. tryckeriet",3
"540","Grefingska tryckeriet",3
"541","Henrik Keyser II",3
"542","Hinrichssche Buchhandlung",3
"543","Hjelt",3
"544","Ignatius Meurerildä",3
"545","Ignatius Meurerin waiwal ia culutuxel",3
"546","Ignatius Meurerin waiwal ja culutuxel",3
"547","Ignatius Meurerin, waiwal ja culutuxel",3
"548","Iohan Winter, kongl. boktr",3
"549","Iohann Billingsley",3
"550","J. C. Frenckell ja poika",3
"551","J. Höjer",3
"552","J. Höjeri",3
"553","J. L. Wallius",3
"554","Joh. Billingsley",3
"555","Joh. Chr. Frenckell",3
"556","Joh. Edman & Reg. Acad. typogr",3
"557","Joh. Höjer, Kongl. acad. boktr",3
"558","Joh. Kaempe, Reg. Ac. typ",3
"559","Joh. Kiaempe",3
"560","Joh. Kiämpe Reg. Ac. typ",3
"561","Joh. Kiämpe, Kongl. acd. boktr",3
"562","Joh. Laur. Horrn, Kongl. Antiqv. archiv. boktr",3
"563","Joh. Winter",3
"564","Johan Brendeken",3
"565","Johan Christ. Frenckellildä",3
"566","Johan Christofer Frenckellildä",3
"567","Johan Edman",3
"568","Johan Fredrik Edman, Kongl. Akad. boktryckare",3
"569","Johan Höjer",3
"570","Johan Kiämpe, Kongl. acad. boktr",3
"571","Johan Kämpildä",3
"572","Johan Laur. Horrn",3
"573","Johan Walls änka",3
"574","Johan Winter, kongl. boktr",3
"575","Johan Winter, kongl. booktryckiare",3
"576","Johan Winterildä, cuningal. kirjan präntäjäldä",3
"577","Johann Billingsley",3
"578","Kongl. acad. boktr. Eric Flodström",3
"579","Kongl. finska boktryckeriet, hos Johan A. Carlbohm",3
"580","Kongl. landmäterie contoiret",3
"581","Kuning:sa prändisä",3
"582","Kuning:sen acad. präntäjäldä J. C. Frenckellildä",3
"583","Kuningallisesa suomalaisesa prändisä, Joh. A. Carlbohmilda",3
